variable,description,sector,confidence,rationale,industry,subsector,subtype,subsubtype,subsubsubtype
Secondary Energy|Heat|Nuclear,"Secondary Energy|Heat|Nuclear represents nuclear within the broader context of secondary energy > heat > nuclear in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, heat, nuclear, secondary, secondary energy",Energy,0.9,Captures nuclear heat related secondary energy production.,Heat Production,Nuclear Heat,,,
Water Consumption|Electricity|Geothermal,"Water Consumption|Electricity|Geothermal represents geothermal within the broader context of water consumption > electricity > geothermal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: consumption, electricity, geothermal, water, water consumption",Energy,0.95,Captures geothermal power related water consumption.,Electric Power Generation,Geothermal Power,,,
Water Withdrawal|Electricity|Geothermal,"Water Withdrawal|Electricity|Geothermal represents geothermal within the broader context of water withdrawal > electricity > geothermal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, geothermal, water, water withdrawal, withdrawal",Energy,0.95,Captures geothermal power related water withdrawal.,Electric Power Generation,Geothermal Power,,,
Final Energy|Non-Energy Use|Gas,"Final Energy|Non-Energy Use|Gas represents gas within the broader context of final energy > non-energy use > gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, gas, non, non-energy use, use",Energy,0.7,"Captures final energy consumption of gas for non-energy use, less certain due to breadth of category.",Energy Use,Gases,,,
Capital Cost|Electricity|Gas|w/o CCS,"Capital Cost|Electricity|Gas|w/o CCS represents w/o ccs within the broader context of capital cost > electricity > gas > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, ccs, cost, electricity, gas, o, w, w/o ccs",Energy,0.9,Captures natural gas power related capital costs excluding carbon capture and storage.,Electric Power Generation,Natural Gas Power,,,
Efficiency|Electricity|Gas|w/o CCS,"Efficiency|Electricity|Gas|w/o CCS represents w/o ccs within the broader context of efficiency > electricity > gas > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, efficiency, electricity, gas, o, w, w/o ccs",Energy,0.9,Captures natural gas power related efficiency excluding carbon capture and storage.,Electric Power Generation,Natural Gas Power,,,
OM Cost|Fixed|Electricity|Gas|w/o CCS,"OM Cost|Fixed|Electricity|Gas|w/o CCS represents w/o ccs within the broader context of om cost > fixed > electricity > gas > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, cost, electricity, fixed, gas, o, om, om cost, w, w/o ccs",Energy,0.9,Captures natural gas power related operational and maintenance costs excluding carbon capture and storage.,Electric Power Generation,Natural Gas Power,,,
Capital Cost|Electricity|Coal|w/o CCS,"Capital Cost|Electricity|Coal|w/o CCS represents w/o ccs within the broader context of capital cost > electricity > coal > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, ccs, coal, cost, electricity, o, w, w/o ccs",Energy,0.9,Captures coal power related capital costs excluding carbon capture and storage.,Electric Power Generation,Coal Power,,,
Efficiency|Electricity|Coal|w/o CCS,"Efficiency|Electricity|Coal|w/o CCS represents w/o ccs within the broader context of efficiency > electricity > coal > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, efficiency, electricity, o, w, w/o ccs",Energy,0.9,Captures coal power related efficiency excluding carbon capture and storage.,Electric Power Generation,Coal Power,,,
OM Cost|Fixed|Electricity|Coal|w/o CCS,"OM Cost|Fixed|Electricity|Coal|w/o CCS represents w/o ccs within the broader context of om cost > fixed > electricity > coal > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, cost, electricity, fixed, o, om, om cost, w, w/o ccs",Energy,0.9,Captures coal power related operational and maintenance costs excluding carbon capture and storage.,Electric Power Generation,Coal Power,,,
Capacity|Electricity|Solar|CSP,"Capacity|Electricity|Solar|CSP represents csp within the broader context of capacity > electricity > solar > csp in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, csp, electricity, solar",Energy,0.9,Captures concentrated solar power related capacity.,Electric Power Generation,Concentrated Solar Power (CSP),,,
Capacity|Electricity|Wind|Offshore,"Capacity|Electricity|Wind|Offshore represents offshore within the broader context of capacity > electricity > wind > offshore in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, offshore, wind",Energy,0.9,Captures offshore wind power related capacity.,Electric Power Generation,Offshore Wind Power,,,
Carbon Sequestration|CCS|Biomass|Energy|Supply|Gases,"Carbon Sequestration|CCS|Biomass|Energy|Supply|Gases represents gases within the broader context of carbon sequestration > ccs > biomass > energy > supply > gases in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, carbon, carbon sequestration, ccs, energy, energy demand, energy sector, energy use, gases, sequestration, supply",Energy,0.9,Captures carbon capture and storage - biomass related carbon sequestration.,Energy Supply,Carbon Capture and Storage (CCS) - Biomass,,,
Carbon Sequestration|CCS|Fossil|Energy|Supply|Gases,"Carbon Sequestration|CCS|Fossil|Energy|Supply|Gases represents gases within the broader context of carbon sequestration > ccs > fossil > energy > supply > gases in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, ccs, energy, energy demand, energy sector, energy use, fossil, gases, sequestration, supply",Energy,0.9,Captures carbon capture and storage - fossil fuels related carbon sequestration.,Energy Supply,Carbon Capture and Storage (CCS) - Fossil Fuels,,,
Carbon Sequestration|Direct Air Capture,"Carbon Sequestration|Direct Air Capture represents direct air capture within the broader context of carbon sequestration > direct air capture in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: air, capture, carbon, carbon sequestration, direct, direct air capture, sequestration",Energy,0.9,Captures direct air capture related carbon sequestration.,Energy Supply,Direct Air Capture (DAC),,,
Carbon Sequestration|Land Use,"Carbon Sequestration|Land Use represents land use within the broader context of carbon sequestration > land use in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, land, land use, sequestration, use",AFOLU,0.9,Captures land use related carbon sequestration.,Land Use,Carbon Sequestration - Land Use,,,
Carbon Sequestration|Other,"Carbon Sequestration|Other represents other within the broader context of carbon sequestration > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, other, sequestration",Energy,0.7,"Captures other types of carbon sequestration, less certain due to breadth of category.",Energy Supply,Other Carbon Sequestration,,,
Cumulative Capacity|Electricity|Solar|CSP,"Cumulative Capacity|Electricity|Solar|CSP represents csp within the broader context of cumulative capacity > electricity > solar > csp in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, csp, cumulative, cumulative capacity, electricity, solar",Energy,0.9,Captures concentrated solar power related cumulative capacity.,Electric Power Generation,Concentrated Solar Power (CSP),,,
Cumulative Capacity|Electricity|Wind|Offshore,"Cumulative Capacity|Electricity|Wind|Offshore represents offshore within the broader context of cumulative capacity > electricity > wind > offshore in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, cumulative, cumulative capacity, electricity, offshore, wind",Energy,0.9,Captures offshore wind power related cumulative capacity.,Electric Power Generation,Offshore Wind Power,,,
Emissions|CH4|Other,"Emissions|CH4|Other represents other within the broader context of emissions > ch4 > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, ch4, co2 output, emissions, ghg emissions, other",Energy,0.7,"Captures other methane related emissions, less certain due to breadth of category.",Energy Supply,Other Methane Emissions,,,
Emissions|CO2|Energy|Supply|Gases,"Emissions|CO2|Energy|Supply|Gases represents gases within the broader context of emissions > co2 > energy > supply > gases in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, co2, co2 output, emissions, energy, energy demand, energy sector, energy use, gases, ghg emissions, supply",Energy,0.9,Captures gaseous fossil fuel related CO2 emissions.,Energy Supply,Gaseous Fossil Fuel Emissions,,,
Emissions|CO2|Energy|Supply|Liquids,"Emissions|CO2|Energy|Supply|Liquids represents liquids within the broader context of emissions > co2 > energy > supply > liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, co2, co2 output, emissions, energy, energy demand, energy sector, energy use, ghg emissions, liquids, supply",Energy,0.9,Captures liquid fossil fuel related CO2 emissions.,Energy Supply,Liquid Fossil Fuel Emissions,,,
Emissions|N2O|Other,"Emissions|N2O|Other represents other within the broader context of emissions > n2o > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, co2 output, emissions, ghg emissions, n2o, other",Energy,0.7,"Captures other nitrous oxide related emissions, less certain due to breadth of category.",Energy Supply,Other Nitrous Oxide Emissions,,,
Final Energy|Other Sector|Hydrogen,"Final Energy|Other Sector|Hydrogen represents hydrogen within the broader context of final energy > other sector > hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, hydrogen, other, other sector, sector",Energy,0.7,"Captures final energy consumption of hydrogen, less certain due to breadth of category.",Energy Use,Hydrogen,,,
Final Energy|Residential and Commercial|Other,"Final Energy|Residential and Commercial|Other represents other within the broader context of final energy > residential and commercial > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, other, residential, residential and commercial",Energy,0.9,Variable represents final energy usage in residential and commercial buildings.,Not Applicable (Multiple Sectors),Buildings,,,
Final Energy|Transportation|Freight|Gases,"Final Energy|Transportation|Freight|Gases represents gases within the broader context of final energy > transportation > freight > gases in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, freight, gases, mobility, transport, transportation, vehicle demand",Energy,0.95,"Variable represents final energy usage in freight transportation sector, primarily gases.","Shipping, Rail, Road Freight",Transportation,,,
Final Energy|Transportation|Freight|Hydrogen,"Final Energy|Transportation|Freight|Hydrogen represents hydrogen within the broader context of final energy > transportation > freight > hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, freight, hydrogen, mobility, transport, transportation, vehicle demand",Energy,0.9,"Variable represents final energy usage in freight transportation sector, primarily hydrogen.","Shipping, Rail, Road Freight",Transportation,,,
Final Energy|Transportation|Passenger|Gases,"Final Energy|Transportation|Passenger|Gases represents gases within the broader context of final energy > transportation > passenger > gases in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, gases, mobility, passenger, transport, transportation, vehicle demand",Energy,0.95,"Variable represents final energy usage in passenger transportation sector, primarily gases.","Aviation, Automotive",Transportation,,,
Final Energy|Transportation|Passenger|Hydrogen,"Final Energy|Transportation|Passenger|Hydrogen represents hydrogen within the broader context of final energy > transportation > passenger > hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, hydrogen, mobility, passenger, transport, transportation, vehicle demand",Energy,0.9,"Variable represents final energy usage in passenger transportation sector, primarily hydrogen.","Aviation, Automotive",Transportation,,,
Investment,"Investment represents investment within the broader context of investment in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: investment",Cross-sector,0.8,Variable represents investment across various sectors and industries.,Not Applicable,Cross-sector,,,
Investment|Energy Supply|Extraction|Uranium,"Investment|Energy Supply|Extraction|Uranium represents uranium within the broader context of investment > energy supply > extraction > uranium in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy supply, energy use, extraction, investment, supply, uranium",Energy,0.95,Variable represents investment in uranium extraction for energy supply.,Mining,Energy Supply,,,
Investment|Energy Supply|Hydrogen,"Investment|Energy Supply|Hydrogen represents hydrogen within the broader context of investment > energy supply > hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy supply, energy use, hydrogen, investment, supply",Energy,0.8,Variable represents investment in hydrogen production for energy supply.,Not Applicable,Energy Supply,,,
Price|Carbon,"Price|Carbon represents carbon within the broader context of price > carbon in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, price",Cross-sector,0.9,Variable represents carbon pricing across various sectors and industries.,Not Applicable,Cross-sector,,,
Production|Cement,"Production|Cement represents cement within the broader context of production > cement in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cement, production",Industry,0.95,"Variable represents cement production, a subsector of the materials industry.","Cement, Other Materials",Materials,,,
Production|Steel,"Production|Steel represents steel within the broader context of production > steel in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: production, steel",Industry,0.95,"Variable represents steel production, a subsector of the materials industry.",Steel,Materials,,,
Secondary Energy|Electricity|Solar|CSP,"Secondary Energy|Electricity|Solar|CSP represents csp within the broader context of secondary energy > electricity > solar > csp in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: csp, electricity, energy, energy demand, energy sector, energy use, secondary, secondary energy, solar",Energy,0.95,"Variable represents csp production, a subsector of the electricity generation industry.",Not Applicable,Electricity Generation,,,
Secondary Energy|Electricity|Wind|Offshore,"Secondary Energy|Electricity|Wind|Offshore represents offshore within the broader context of secondary energy > electricity > wind > offshore in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy use, offshore, secondary, secondary energy, wind",Energy,0.95,"Variable represents offshore wind production, a subsector of the electricity generation industry.",Wind Power,Electricity Generation,,,
Secondary Energy|Hydrogen,"Secondary Energy|Hydrogen represents hydrogen within the broader context of secondary energy > hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, hydrogen, secondary, secondary energy",Energy,0.8,"Variable represents hydrogen production, a subsector of the energy supply industry.",Not Applicable,Energy Supply,,,
Secondary Energy|Liquids|Coal,"Secondary Energy|Liquids|Coal represents coal within the broader context of secondary energy > liquids > coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: coal, energy, energy demand, energy sector, energy use, liquids, secondary, secondary energy",Energy,0.95,"Variable represents coal-based liquid production, a subsector of the fossil fuel industry.",Fossil Fuel Industry,Liquids,,,
Secondary Energy|Liquids|Coal|w/ CCS,"Secondary Energy|Liquids|Coal|w/ CCS represents w/ ccs within the broader context of secondary energy > liquids > coal > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, energy, energy demand, energy sector, energy use, liquids, secondary, secondary energy, w, w/ ccs",Energy,0.9,"Variable represents coal-based liquid production with CCS, a subsector of the fossil fuel industry.",Fossil Fuel Industry,Liquids (with CCS),,,
Secondary Energy|Liquids|Coal|w/o CCS,"Secondary Energy|Liquids|Coal|w/o CCS represents w/o ccs within the broader context of secondary energy > liquids > coal > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, energy, energy demand, energy sector, energy use, liquids, o, secondary, secondary energy, w, w/o ccs",Energy,0.8,"Variable represents coal-based liquid production without CCS, a subsector of the fossil fuel industry.",Fossil Fuel Industry,Liquids (no CCS),,,
Secondary Energy|Liquids|Fossil|w/ CCS,"Secondary Energy|Liquids|Fossil|w/ CCS represents w/ ccs within the broader context of secondary energy > liquids > fossil > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, energy, energy demand, energy sector, energy use, fossil, liquids, secondary, secondary energy, w, w/ ccs",Energy,0.9,"Variable represents fossil-based liquid production with CCS, a subsector of the fossil fuel industry.",Fossil Fuel Industry,Liquids (with CCS),,,
Final Energy|Residential and Commercial|Commercial|Hydrogen,"Final Energy|Residential and Commercial|Commercial|Hydrogen represents hydrogen within the broader context of final energy > residential and commercial > commercial > hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, hydrogen, residential, residential and commercial",Energy,0.8,Variable represents hydrogen final energy usage in commercial buildings.,Not Applicable (Multiple Sectors),Buildings,,,
Final Energy|Residential and Commercial|Residential|Hydrogen,"Final Energy|Residential and Commercial|Residential|Hydrogen represents hydrogen within the broader context of final energy > residential and commercial > residential > hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, hydrogen, residential, residential and commercial",Energy,0.8,Variable represents hydrogen final energy usage in residential buildings.,Not Applicable (Multiple Sectors),Buildings,,,
Policy Cost|Additional Total Energy System Cost,"Policy Cost|Additional Total Energy System Cost represents additional total energy system cost within the broader context of policy cost > additional total energy system cost in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additional, additional total energy system cost, cost, energy, energy demand, energy sector, energy use, policy, policy cost, system, total",Cross-sector,0.8,Variable represents additional total energy system costs across various sectors and industries.,Not Applicable,Cross-sector,,,
Primary Energy|Biomass|Modern|w/ CCS,"Primary Energy|Biomass|Modern|w/ CCS represents w/ ccs within the broader context of primary energy > biomass > modern > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, energy, energy demand, energy sector, energy use, modern, primary, primary energy, w, w/ ccs",AFOLU,0.9,"Variable represents modern biomass production with CCS, a subsector of the agriculture industry and AFOLU sector.",Agriculture,Biomass,,,
Primary Energy|Biomass|Modern|w/o CCS,"Primary Energy|Biomass|Modern|w/o CCS represents w/o ccs within the broader context of primary energy > biomass > modern > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, energy, energy demand, energy sector, energy use, modern, o, primary, primary energy, w, w/o ccs",AFOLU,0.8,"Variable represents modern biomass production without CCS, a subsector of the agriculture industry and AFOLU sector.",Agriculture,Biomass,,,
Energy Service|Residential and Commercial|Commercial|Floor Space,"Energy Service|Residential and Commercial|Commercial|Floor Space represents floor space within the broader context of energy service > residential and commercial > commercial > floor space in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy service, energy use, floor, floor space, residential, residential and commercial, service, space",Buildings,0.9,Variable represents floor space energy services in commercial buildings.,Not Applicable (Multiple Sectors),Buildings,,,
Energy Service|Residential and Commercial|Residential|Floor Space,"Energy Service|Residential and Commercial|Residential|Floor Space represents floor space within the broader context of energy service > residential and commercial > residential > floor space in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy service, energy use, floor, floor space, residential, residential and commercial, service, space",Buildings,0.9,Variable represents floor space energy services in residential buildings.,Not Applicable (Multiple Sectors),Buildings,,,
Final Energy|Residential and Commercial|Commercial|Cooling,"Final Energy|Residential and Commercial|Commercial|Cooling represents cooling within the broader context of final energy > residential and commercial > commercial > cooling in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, cooling, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial",Energy,0.8,Variable represents cooling final energy usage in commercial buildings.,Not Applicable (Multiple Sectors),Buildings,,,
Final Energy|Residential and Commercial|Commercial|Heating|Space,"Final Energy|Residential and Commercial|Commercial|Heating|Space represents space within the broader context of final energy > residential and commercial > commercial > heating > space in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, heating, residential, residential and commercial, space",Energy,0.8,Variable represents space heating final energy usage in commercial buildings.,Not Applicable (Multiple Sectors),Buildings,,,
Final Energy|Residential and Commercial|Residential|Cooling,"Final Energy|Residential and Commercial|Residential|Cooling represents cooling within the broader context of final energy > residential and commercial > residential > cooling in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, cooling, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial",Energy,0.8,Variable represents cooling final energy usage in residential buildings.,Not Applicable (Multiple Sectors),Buildings,,,
Final Energy|Residential and Commercial|Residential|Heating|Space,"Final Energy|Residential and Commercial|Residential|Heating|Space represents space within the broader context of final energy > residential and commercial > residential > heating > space in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, heating, residential, residential and commercial, space",Energy,0.8,Variable represents space heating final energy usage in residential buildings.,Not Applicable (Multiple Sectors),Buildings,,,
Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,"Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry represents industry within the broader context of carbon sequestration > ccs > biomass > energy > demand > industry in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, carbon, carbon sequestration, ccs, demand, energy, energy demand, energy sector, energy use, industry, sequestration",AFOLU,0.9,"Variable represents CCS-based carbon sequestration in biomass-based energy demand in the industry sector, which can be part of the agriculture industry.",Agriculture,Industry,,,
Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,"Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen represents hydrogen within the broader context of carbon sequestration > ccs > biomass > energy > supply > hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, carbon, carbon sequestration, ccs, energy, energy demand, energy sector, energy use, hydrogen, sequestration, supply",AFOLU,0.9,"Variable represents CCS-based carbon sequestration in hydrogen energy supply from biomass, which can be part of the agriculture industry in the AFOLU sector.",Agriculture,Energy Supply,,,
Carbon Sequestration|CCS|Biomass|Energy|Supply|Other,"Carbon Sequestration|CCS|Biomass|Energy|Supply|Other represents other within the broader context of carbon sequestration > ccs > biomass > energy > supply > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, carbon, carbon sequestration, ccs, energy, energy demand, energy sector, energy use, other, sequestration, supply",AFOLU,0.8,"Variable represents CCS-based carbon sequestration in other energy supply from biomass, which can be part of the agriculture industry in the AFOLU sector.",Agriculture,Energy Supply,,,
Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,"Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen represents hydrogen within the broader context of carbon sequestration > ccs > fossil > energy > supply > hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, ccs, energy, energy demand, energy sector, energy use, fossil, hydrogen, sequestration, supply",Industry,0.9,"Variable represents CCS-based carbon sequestration in hydrogen energy supply from fossil fuels, a subsector of the fossil fuel industry.",Fossil Fuel Industry,Energy Supply,,,
Emissions|CO2|Energy|Demand|Residential and Commercial,"Emissions|CO2|Energy|Demand|Residential and Commercial represents residential and commercial within the broader context of emissions > co2 > energy > demand > residential and commercial in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, carbon emissions, co2, co2 output, commercial, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, residential, residential and commercial",Energy,0.9,Variable represents CO2 emissions from residential and commercial energy demand.,Not Applicable (Multiple Sectors),Energy Demand,,,
Final Energy|Residential and Commercial|Solids|Biomass|Traditional,"Final Energy|Residential and Commercial|Solids|Biomass|Traditional represents traditional within the broader context of final energy > residential and commercial > solids > biomass > traditional in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, biomass, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial, solids, traditional",Energy,0.8,Variable represents traditional biomass-based final energy usage in residential and commercial buildings.,Not Applicable (Multiple Sectors),Buildings,,,
Secondary Energy|Hydrogen|Biomass,"Secondary Energy|Hydrogen|Biomass represents biomass within the broader context of secondary energy > hydrogen > biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, energy, energy demand, energy sector, energy use, hydrogen, secondary, secondary energy",AFOLU,0.9,"Variable represents hydrogen production from biomass, which can be part of the agriculture industry in the AFOLU sector.",Agriculture,Hydrogen,,,
Secondary Energy|Hydrogen|Biomass|w/ CCS,"Secondary Energy|Hydrogen|Biomass|w/ CCS represents w/ ccs within the broader context of secondary energy > hydrogen > biomass > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, energy, energy demand, energy sector, energy use, hydrogen, secondary, secondary energy, w, w/ ccs",AFOLU,0.9,"Variable represents hydrogen production from biomass with CCS, which can be part of the agriculture industry in the AFOLU sector.",Agriculture,Hydrogen (with CCS),,,
Secondary Energy|Hydrogen|Biomass|w/o CCS,"Secondary Energy|Hydrogen|Biomass|w/o CCS represents w/o ccs within the broader context of secondary energy > hydrogen > biomass > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, energy, energy demand, energy sector, energy use, hydrogen, o, secondary, secondary energy, w, w/o ccs",AFOLU,0.8,"Variable represents hydrogen production from biomass without CCS, which can be part of the agriculture industry in the AFOLU sector.",Agriculture,Hydrogen (no CCS),,,
Secondary Energy|Hydrogen|Coal,"Secondary Energy|Hydrogen|Coal represents coal within the broader context of secondary energy > hydrogen > coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: coal, energy, energy demand, energy sector, energy use, hydrogen, secondary, secondary energy",Energy,0.9,"Variable represents hydrogen production from coal, a subsector of the fossil fuel industry.",Fossil Fuel Industry,Hydrogen,,,
