variable,description
Final Energy|Residential and Commercial|Commercial|Cooling,"Final Energy|Residential and Commercial|Commercial|Cooling represents cooling within the broader context of final energy → residential and commercial → commercial → cooling in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, cooling, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial"
Final Energy|Residential and Commercial|Commercial|Heating|Space,"Final Energy|Residential and Commercial|Commercial|Heating|Space represents space within the broader context of final energy → residential and commercial → commercial → heating → space in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, heating, residential, residential and commercial, space"
Final Energy|Residential and Commercial|Residential|Cooling,"Final Energy|Residential and Commercial|Residential|Cooling represents cooling within the broader context of final energy → residential and commercial → residential → cooling in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, cooling, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial"
Final Energy|Residential and Commercial|Residential|Heating|Space,"Final Energy|Residential and Commercial|Residential|Heating|Space represents space within the broader context of final energy → residential and commercial → residential → heating → space in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, heating, residential, residential and commercial, space"
Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,"Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry represents industry within the broader context of carbon sequestration → ccs → biomass → energy → demand → industry in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, carbon, carbon sequestration, ccs, demand, energy, energy demand, energy sector, energy use, industry, sequestration"
Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,"Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen represents hydrogen within the broader context of carbon sequestration → ccs → biomass → energy → supply → hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, carbon, carbon sequestration, ccs, energy, energy demand, energy sector, energy use, hydrogen, sequestration, supply"
Carbon Sequestration|CCS|Biomass|Energy|Supply|Other,"Carbon Sequestration|CCS|Biomass|Energy|Supply|Other represents other within the broader context of carbon sequestration → ccs → biomass → energy → supply → other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, carbon, carbon sequestration, ccs, energy, energy demand, energy sector, energy use, other, sequestration, supply"
Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,"Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen represents hydrogen within the broader context of carbon sequestration → ccs → fossil → energy → supply → hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, ccs, energy, energy demand, energy sector, energy use, fossil, hydrogen, sequestration, supply"
Emissions|CO2|Energy|Demand|Residential and Commercial,"Emissions|CO2|Energy|Demand|Residential and Commercial represents residential and commercial within the broader context of emissions → co2 → energy → demand → residential and commercial in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, carbon emissions, co2, co2 output, commercial, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, residential, residential and commercial"
Final Energy|Residential and Commercial|Solids|Biomass|Traditional,"Final Energy|Residential and Commercial|Solids|Biomass|Traditional represents traditional within the broader context of final energy → residential and commercial → solids → biomass → traditional in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, biomass, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial, solids, traditional"
Secondary Energy|Hydrogen|Biomass,"Secondary Energy|Hydrogen|Biomass represents biomass within the broader context of secondary energy → hydrogen → biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, energy, energy demand, energy sector, energy use, hydrogen, secondary, secondary energy"
Secondary Energy|Hydrogen|Biomass|w/ CCS,"Secondary Energy|Hydrogen|Biomass|w/ CCS represents w/ ccs within the broader context of secondary energy → hydrogen → biomass → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, energy, energy demand, energy sector, energy use, hydrogen, secondary, secondary energy, w, w/ ccs"
Secondary Energy|Hydrogen|Biomass|w/o CCS,"Secondary Energy|Hydrogen|Biomass|w/o CCS represents w/o ccs within the broader context of secondary energy → hydrogen → biomass → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, energy, energy demand, energy sector, energy use, hydrogen, o, secondary, secondary energy, w, w/o ccs"
Secondary Energy|Hydrogen|Coal,"Secondary Energy|Hydrogen|Coal represents coal within the broader context of secondary energy → hydrogen → coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: coal, energy, energy demand, energy sector, energy use, hydrogen, secondary, secondary energy"
Secondary Energy|Hydrogen|Coal|w/ CCS,"Secondary Energy|Hydrogen|Coal|w/ CCS represents w/ ccs within the broader context of secondary energy → hydrogen → coal → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, energy, energy demand, energy sector, energy use, hydrogen, secondary, secondary energy, w, w/ ccs"
Secondary Energy|Hydrogen|Coal|w/o CCS,"Secondary Energy|Hydrogen|Coal|w/o CCS represents w/o ccs within the broader context of secondary energy → hydrogen → coal → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, energy, energy demand, energy sector, energy use, hydrogen, o, secondary, secondary energy, w, w/o ccs"
Secondary Energy|Hydrogen|Electricity,"Secondary Energy|Hydrogen|Electricity represents electricity within the broader context of secondary energy → hydrogen → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy use, hydrogen, secondary, secondary energy"
Secondary Energy|Hydrogen|Fossil,"Secondary Energy|Hydrogen|Fossil represents fossil within the broader context of secondary energy → hydrogen → fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, fossil, hydrogen, secondary, secondary energy"
Secondary Energy|Hydrogen|Fossil|w/ CCS,"Secondary Energy|Hydrogen|Fossil|w/ CCS represents w/ ccs within the broader context of secondary energy → hydrogen → fossil → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, energy, energy demand, energy sector, energy use, fossil, hydrogen, secondary, secondary energy, w, w/ ccs"
Secondary Energy|Hydrogen|Fossil|w/o CCS,"Secondary Energy|Hydrogen|Fossil|w/o CCS represents w/o ccs within the broader context of secondary energy → hydrogen → fossil → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, energy, energy demand, energy sector, energy use, fossil, hydrogen, o, secondary, secondary energy, w, w/o ccs"
Secondary Energy|Hydrogen|Gas,"Secondary Energy|Hydrogen|Gas represents gas within the broader context of secondary energy → hydrogen → gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, gas, hydrogen, secondary, secondary energy"
Secondary Energy|Hydrogen|Gas|w/ CCS,"Secondary Energy|Hydrogen|Gas|w/ CCS represents w/ ccs within the broader context of secondary energy → hydrogen → gas → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, energy, energy demand, energy sector, energy use, gas, hydrogen, secondary, secondary energy, w, w/ ccs"
Secondary Energy|Hydrogen|Gas|w/o CCS,"Secondary Energy|Hydrogen|Gas|w/o CCS represents w/o ccs within the broader context of secondary energy → hydrogen → gas → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, energy, energy demand, energy sector, energy use, gas, hydrogen, o, secondary, secondary energy, w, w/o ccs"
Secondary Energy|Hydrogen|Other,"Secondary Energy|Hydrogen|Other represents other within the broader context of secondary energy → hydrogen → other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, hydrogen, other, secondary, secondary energy"
Trade|Secondary Energy|Hydrogen|Volume,"Trade|Secondary Energy|Hydrogen|Volume represents volume within the broader context of trade → secondary energy → hydrogen → volume in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, hydrogen, secondary, secondary energy, trade, volume"
Policy Cost|Equivalent Variation,"Policy Cost|Equivalent Variation represents equivalent variation within the broader context of policy cost → equivalent variation in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cost, equivalent, equivalent variation, policy, policy cost, variation"
Policy Cost|Welfare Change,"Policy Cost|Welfare Change represents welfare change within the broader context of policy cost → welfare change in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: change, cost, policy, policy cost, welfare, welfare change"
Carbon Sequestration|CCS|Biomass|Energy,"Carbon Sequestration|CCS|Biomass|Energy represents energy within the broader context of carbon sequestration → ccs → biomass → energy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, carbon, carbon sequestration, ccs, energy, energy demand, energy sector, energy use, sequestration"
Carbon Sequestration|CCS|Fossil|Energy,"Carbon Sequestration|CCS|Fossil|Energy represents energy within the broader context of carbon sequestration → ccs → fossil → energy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, ccs, energy, energy demand, energy sector, energy use, fossil, sequestration"
Carbon Sequestration|CCS|Fossil|Industrial Processes,"Carbon Sequestration|CCS|Fossil|Industrial Processes represents industrial processes within the broader context of carbon sequestration → ccs → fossil → industrial processes in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, ccs, fossil, industrial, industrial processes, processes, sequestration"
Capital Cost|Electricity|Solar|CSP,"Capital Cost|Electricity|Solar|CSP represents csp within the broader context of capital cost → electricity → solar → csp in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, cost, csp, electricity, solar"
Primary Energy|Non-Biomass Renewables|Geothermal,"Primary Energy|Non-Biomass Renewables|Geothermal represents geothermal within the broader context of primary energy → non-biomass renewables → geothermal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, energy, energy demand, energy sector, energy use, geothermal, non, non-biomass renewables, primary, primary energy, renewables"
Primary Energy|Non-Biomass Renewables|Hydro,"Primary Energy|Non-Biomass Renewables|Hydro represents hydro within the broader context of primary energy → non-biomass renewables → hydro in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, energy, energy demand, energy sector, energy use, hydro, non, non-biomass renewables, primary, primary energy, renewables"
Primary Energy|Non-Biomass Renewables|Solar,"Primary Energy|Non-Biomass Renewables|Solar represents solar within the broader context of primary energy → non-biomass renewables → solar in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, energy, energy demand, energy sector, energy use, non, non-biomass renewables, primary, primary energy, renewables, solar"
Primary Energy|Non-Biomass Renewables|Wind,"Primary Energy|Non-Biomass Renewables|Wind represents wind within the broader context of primary energy → non-biomass renewables → wind in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, energy, energy demand, energy sector, energy use, non, non-biomass renewables, primary, primary energy, renewables, wind"
Secondary Energy|Gases|Biomass,"Secondary Energy|Gases|Biomass represents biomass within the broader context of secondary energy → gases → biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, energy, energy demand, energy sector, energy use, gases, secondary, secondary energy"
Secondary Energy|Gases|Coal,"Secondary Energy|Gases|Coal represents coal within the broader context of secondary energy → gases → coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: coal, energy, energy demand, energy sector, energy use, gases, secondary, secondary energy"
Secondary Energy|Liquids|Gas,"Secondary Energy|Liquids|Gas represents gas within the broader context of secondary energy → liquids → gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, gas, liquids, secondary, secondary energy"
Capital Cost|Electricity|Biomass|w/ CCS,"Capital Cost|Electricity|Biomass|w/ CCS represents w/ ccs within the broader context of capital cost → electricity → biomass → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capital, capital cost, ccs, cost, electricity, w, w/ ccs"
Capital Cost|Electricity|Coal|w/ CCS,"Capital Cost|Electricity|Coal|w/ CCS represents w/ ccs within the broader context of capital cost → electricity → coal → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, ccs, coal, cost, electricity, w, w/ ccs"
Capital Cost|Electricity|Gas|w/ CCS,"Capital Cost|Electricity|Gas|w/ CCS represents w/ ccs within the broader context of capital cost → electricity → gas → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, ccs, cost, electricity, gas, w, w/ ccs"
Agricultural Demand|Crops,"Agricultural Demand|Crops represents crops within the broader context of agricultural demand → crops in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural demand, agriculture, crop demand, crops, demand, food production"
Agricultural Demand|Crops|Energy,"Agricultural Demand|Crops|Energy represents energy within the broader context of agricultural demand → crops → energy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural demand, agriculture, crop demand, crops, demand, energy, energy demand, energy sector, energy use, food production"
Agricultural Demand|Crops|Energy|1st generation,"Agricultural Demand|Crops|Energy|1st generation represents 1st generation within the broader context of agricultural demand → crops → energy → 1st generation in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: 1st, 1st generation, agricultural, agricultural demand, agriculture, crop demand, crops, demand, energy, energy demand, energy sector, energy use, food production, generation"
Agricultural Demand|Crops|Energy|2nd generation,"Agricultural Demand|Crops|Energy|2nd generation represents 2nd generation within the broader context of agricultural demand → crops → energy → 2nd generation in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: 2nd, 2nd generation, agricultural, agricultural demand, agriculture, crop demand, crops, demand, energy, energy demand, energy sector, energy use, food production, generation"
Agricultural Demand|Crops|Feed,"Agricultural Demand|Crops|Feed represents feed within the broader context of agricultural demand → crops → feed in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural demand, agriculture, crop demand, crops, demand, feed, food production"
Agricultural Demand|Crops|Food,"Agricultural Demand|Crops|Food represents food within the broader context of agricultural demand → crops → food in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural demand, agriculture, crop demand, crops, demand, food, food production"
Agricultural Demand|Crops|Other,"Agricultural Demand|Crops|Other represents other within the broader context of agricultural demand → crops → other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural demand, agriculture, crop demand, crops, demand, food production, other"
Agricultural Demand|Livestock,"Agricultural Demand|Livestock represents livestock within the broader context of agricultural demand → livestock in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural demand, agriculture, crop demand, demand, food production, livestock"
Agricultural Demand|Livestock|Food,"Agricultural Demand|Livestock|Food represents food within the broader context of agricultural demand → livestock → food in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural demand, agriculture, crop demand, demand, food, food production, livestock"
Agricultural Demand|Livestock|Other,"Agricultural Demand|Livestock|Other represents other within the broader context of agricultural demand → livestock → other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural demand, agriculture, crop demand, demand, food production, livestock, other"
Capacity Additions|Electricity|Solar|CSP,"Capacity Additions|Electricity|Solar|CSP represents csp within the broader context of capacity additions → electricity → solar → csp in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, csp, electricity, solar"
Capacity Additions|Electricity|Wind|Offshore,"Capacity Additions|Electricity|Wind|Offshore represents offshore within the broader context of capacity additions → electricity → wind → offshore in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, offshore, wind"
Capital Cost|Electricity|Wind|Offshore,"Capital Cost|Electricity|Wind|Offshore represents offshore within the broader context of capital cost → electricity → wind → offshore in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, cost, electricity, offshore, wind"
Emissions|BC|Energy|Demand|Residential and Commercial,"Emissions|BC|Energy|Demand|Residential and Commercial represents residential and commercial within the broader context of emissions → bc → energy → demand → residential and commercial in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, bc, carbon emissions, co2 output, commercial, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, residential, residential and commercial"
Emissions|C2F6,"Emissions|C2F6 represents c2f6 within the broader context of emissions → c2f6 in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: c2f6, carbon emissions, co2 output, emissions, ghg emissions"
Emissions|CF4,"Emissions|CF4 represents cf4 within the broader context of emissions → cf4 in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, cf4, co2 output, emissions, ghg emissions"
Emissions|CH4|Energy|Demand|Residential and Commercial,"Emissions|CH4|Energy|Demand|Residential and Commercial represents residential and commercial within the broader context of emissions → ch4 → energy → demand → residential and commercial in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, carbon emissions, ch4, co2 output, commercial, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, residential, residential and commercial"
Emissions|CO2|Energy|Demand|Transportation|Freight,"Emissions|CO2|Energy|Demand|Transportation|Freight represents freight within the broader context of emissions → co2 → energy → demand → transportation → freight in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, co2, co2 output, demand, emissions, energy, energy demand, energy sector, energy use, freight, ghg emissions, mobility, transport, transportation, vehicle demand"
Emissions|CO2|Energy|Demand|Transportation|Passenger,"Emissions|CO2|Energy|Demand|Transportation|Passenger represents passenger within the broader context of emissions → co2 → energy → demand → transportation → passenger in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, co2, co2 output, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, mobility, passenger, transport, transportation, vehicle demand"
Emissions|CO|Energy|Demand|Residential and Commercial,"Emissions|CO|Energy|Demand|Residential and Commercial represents residential and commercial within the broader context of emissions → co → energy → demand → residential and commercial in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, carbon emissions, co, co2 output, commercial, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, residential, residential and commercial"
Emissions|NH3|Energy|Demand|Residential and Commercial,"Emissions|NH3|Energy|Demand|Residential and Commercial represents residential and commercial within the broader context of emissions → nh3 → energy → demand → residential and commercial in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, carbon emissions, co2 output, commercial, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, nh3, residential, residential and commercial"
Emissions|NOx|Energy|Demand|Residential and Commercial,"Emissions|NOx|Energy|Demand|Residential and Commercial represents residential and commercial within the broader context of emissions → nox → energy → demand → residential and commercial in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, carbon emissions, co2 output, commercial, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, nox, residential, residential and commercial"
Emissions|OC|Energy|Demand|Residential and Commercial,"Emissions|OC|Energy|Demand|Residential and Commercial represents residential and commercial within the broader context of emissions → oc → energy → demand → residential and commercial in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, carbon emissions, co2 output, commercial, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, oc, residential, residential and commercial"
Emissions|Sulfur|Energy|Demand|Residential and Commercial,"Emissions|Sulfur|Energy|Demand|Residential and Commercial represents residential and commercial within the broader context of emissions → sulfur → energy → demand → residential and commercial in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, carbon emissions, co2 output, commercial, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, residential, residential and commercial, sulfur"
Emissions|VOC|Energy|Demand|Residential and Commercial,"Emissions|VOC|Energy|Demand|Residential and Commercial represents residential and commercial within the broader context of emissions → voc → energy → demand → residential and commercial in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, carbon emissions, co2 output, commercial, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, residential, residential and commercial, voc"
Final Energy|Residential and Commercial|Cooling,"Final Energy|Residential and Commercial|Cooling represents cooling within the broader context of final energy → residential and commercial → cooling in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, cooling, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial"
Final Energy|Residential and Commercial|Heating|Space,"Final Energy|Residential and Commercial|Heating|Space represents space within the broader context of final energy → residential and commercial → heating → space in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, heating, residential, residential and commercial, space"
Final Energy|Transportation|Road|Freight,"Final Energy|Transportation|Road|Freight represents freight within the broader context of final energy → transportation → road → freight in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, freight, mobility, road, transport, transportation, vehicle demand"
Final Energy|Transportation|Road|Freight|Electric,"Final Energy|Transportation|Road|Freight|Electric represents electric within the broader context of final energy → transportation → road → freight → electric in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electric, energy, energy demand, energy sector, energy use, final, final energy, freight, mobility, road, transport, transportation, vehicle demand"
Final Energy|Transportation|Road|Passenger,"Final Energy|Transportation|Road|Passenger represents passenger within the broader context of final energy → transportation → road → passenger in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, mobility, passenger, road, transport, transportation, vehicle demand"
Final Energy|Transportation|Road|Passenger|2W&3W,"Final Energy|Transportation|Road|Passenger|2W&3W represents 2w&3w within the broader context of final energy → transportation → road → passenger → 2w&3w in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: 2w, 2w&3w, 3w, energy, energy demand, energy sector, energy use, final, final energy, mobility, passenger, road, transport, transportation, vehicle demand"
Investment|Energy Supply|Other,"Investment|Energy Supply|Other represents other within the broader context of investment → energy supply → other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy supply, energy use, investment, other, supply"
Land Cover|Forest|Managed,"Land Cover|Forest|Managed represents managed within the broader context of land cover → forest → managed in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cover, forest, land, land cover, managed"
Price|Final Energy|Residential and Commercial|Residential|Electricity,"Price|Final Energy|Residential and Commercial|Residential|Electricity represents electricity within the broader context of price → final energy → residential and commercial → residential → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, electricity, energy, energy demand, energy sector, energy use, final, final energy, price, residential, residential and commercial"
Price|Final Energy|Transportation|Hydrogen,"Price|Final Energy|Transportation|Hydrogen represents hydrogen within the broader context of price → final energy → transportation → hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, hydrogen, mobility, price, transport, transportation, vehicle demand"
Price|Final Energy|Transportation|Liquids,"Price|Final Energy|Transportation|Liquids represents liquids within the broader context of price → final energy → transportation → liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, liquids, mobility, price, transport, transportation, vehicle demand"
Price|Secondary Energy|Gases|Natural Gas,"Price|Secondary Energy|Gases|Natural Gas represents natural gas within the broader context of price → secondary energy → gases → natural gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, gas, gases, natural, natural gas, price, secondary, secondary energy"
Price|Secondary Energy|Hydrogen,"Price|Secondary Energy|Hydrogen represents hydrogen within the broader context of price → secondary energy → hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, hydrogen, price, secondary, secondary energy"
Price|Secondary Energy|Liquids|Oil,"Price|Secondary Energy|Liquids|Oil represents oil within the broader context of price → secondary energy → liquids → oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, liquids, oil, price, secondary, secondary energy"
Production|Non-ferrous metals,"Production|Non-ferrous metals represents non-ferrous metals within the broader context of production → non-ferrous metals in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ferrous, metals, non, non-ferrous metals, production"
Emissions|CO2|Energy|Supply|Heat,"Emissions|CO2|Energy|Supply|Heat represents heat within the broader context of emissions → co2 → energy → supply → heat in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, co2, co2 output, emissions, energy, energy demand, energy sector, energy use, ghg emissions, heat, supply"
